30	30	Juliet	54	4.35742188
30	30	Sierra	53	4.35742188
30	30	Bravo	52	4.35742188
30	30	Kilo	51	4.35742188
30	30	Tango	50	4.35742188
30	30	Charlie	49	4.35742188
30	30	Lima	48	4.35742188
30	30	Uniform	47	4.35742188
30	30	Delta	46	4.35742188
30	30	Mike	45	4.35742188
30	30	Victor	44	4.35742188
30	30	Echo	43	4.35742188
30	30	November	42	4.35742188
30	30	Whiskey	41	4.35742188
30	30	Foxtrot	40	4.35742188
30	30	Oscar	39	4.35742188
30	31	X	37	4.35742188
30	30	Golf	36	4.35742188
30	30	Papa	35	4.35742188
30	30	Yankee	34	4.35742188
30	30	Hotel	33	4.35742188
30	30	Quebec	32	4.35742188
30	30	Zulu	31	4.35742188
30	30	India	30	4.35742188
30	30	Romeo	29	4.35742188
30	30	one	28	4.35742188
30	30	five	27	4.35742188
30	30	nine	26	4.35742188
30	30	two	25	4.35742188
30	30	six	24	4.35742188
30	30	zero	23	4.35742188
30	30	three	22	4.35742188
30	30	seven	21	4.35742188
30	30	decimal	20	4.35742188
30	30	four	19	4.35742188
30	30	ate	18	4.35742188
30	30	thousand	17	4.35742188
30	1.09184277
31	30	ray	38
32	39	thanks	60	2.70007443
32	28	thank	59	2.70007443
32	39	please	6	2.70007443
32	32	capital	56	4.35742188
32	32	Alpha	55	4.35742188
32	32	Juliet	54	4.35742188
32	32	Sierra	53	4.35742188
32	32	Bravo	52	4.35742188
32	32	Kilo	51	4.35742188
32	32	Tango	50	4.35742188
32	32	Charlie	49	4.35742188
32	32	Lima	48	4.35742188
32	32	Uniform	47	4.35742188
32	32	Delta	46	4.35742188
32	32	Mike	45	4.35742188
32	32	Victor	44	4.35742188
32	32	Echo	43	4.35742188
32	32	November	42	4.35742188
32	32	Whiskey	41	4.35742188
32	32	Foxtrot	40	4.35742188
32	32	Oscar	39	4.35742188
32	33	X	37	4.35742188
32	32	Golf	36	4.35742188
32	32	Papa	35	4.35742188
32	32	Yankee	34	4.35742188
32	32	Hotel	33	4.35742188
32	32	Quebec	32	4.35742188
32	32	Zulu	31	4.35742188
32	32	India	30	4.35742188
32	32	Romeo	29	4.35742188
32	32	one	28	4.35742188
32	32	five	27	4.35742188
32	32	nine	26	4.35742188
32	32	two	25	4.35742188
32	32	six	24	4.35742188
32	32	zero	23	4.35742188
32	32	three	22	4.35742188
32	32	seven	21	4.35742188
32	32	decimal	20	4.35742188
32	32	four	19	4.35742188
32	32	ate	18	4.35742188
32	32	thousand	17	4.35742188
32	1.09184277
33	32	ray	38
34	37	call	8
35	22	parameter	15
36	37	limits	58
37	39	thanks	60	2.07714844
37	28	thank	59	2.07714844
37	39	please	6	2.07714844
37	0.472058535
38	39	thanks	60	2.07714844
38	28	thank	59	2.07714844
38	39	please	6	2.07714844
38	0.472058535
39
40	39	please	6	2.07714844
40	28	thank	59	2.07714844
40	39	thanks	60	2.07714844
40	0.472058535
